Date,Open,High,Low,Close,Adj Close,Volume
11/28/2019,323.540009,324.890015,322.529999,324.869995,321.555786,59151200
11/29/2019,321.160004,323.640015,321.100006,322.410004,319.120911,77709700
11/30/2019,320.48999,323.730011,320.359985,323.640015,320.338379,55653900
12/1/2019,323.019989,323.540009,322.23999,322.730011,319.437653,40496400
12/2/2019,322.940002,325.779999,322.670013,324.450012,321.140106,68296000
12/3/2019,326.160004,326.730011,325.519989,326.649994,323.317627,48473300
12/4/2019,327.290009,327.459991,325.200012,325.709991,322.387207,53029300
12/5/2019,326.390015,327.959991,325.920013,327.950012,324.604401,47086800
12/6/2019,327.470001,328.619995,326.839996,327.450012,324.109497,62832800
12/7/2019,327.350006,329.019989,327.26001,328.190002,324.841919,72056600
12/8/2019,329.700012,330.920013,329.450012,330.920013,327.544098,54050300
12/9/2019,331.700012,332.179993,330.850006,331.950012,328.563599,95846000
12/10/2019,330.899994,332.179993,330.820007,331.299988,327.920227,77742400
12/11/2019,332.23999,332.950012,331.170013,331.339996,327.959808,48914900
12/12/2019,330.630005,332.170013,329.410004,331.720001,328.335938,51963000
12/13/2019,332.440002,332.529999,327.359985,328.769989,325.416016,87578400
12/14/2019,323.029999,325.119995,322.660004,323.5,320.199799,84062500
12/15/2019,325.059998,327.850006,323.600006,326.890015,323.555206,63834000
12/16/2019,328.380005,328.630005,326.399994,326.619995,323.287933,53888900
12/17/2019,324.359985,327.910004,323.540009,327.679993,324.337128,75491800
12/18/2019,327,327.170013,320.730011,321.730011,318.447845,113845600
12/19/2019,323.350006,326.160004,323.220001,324.119995,320.813446,69242300
12/20/2019,328.070007,330.01001,327.720001,329.059998,325.703064,62573200
12/21/2019,332.269989,333.089996,330.670013,332.859985,329.464294,65951100
12/22/2019,333.910004,334.190002,332.799988,333.980011,330.572876,50359700
12/23/2019,332.820007,333.98999,331.600006,332.200012,328.811035,64139400
12/24/2019,331.230011,334.75,331.190002,334.679993,331.265717,42070000
12/25/2019,336.160004,337.019989,334.679993,335.26001,331.839813,54864500
12/26/2019,336.829987,337.649994,336.429993,337.420013,333.977783,43992700
12/27/2019,335.859985,338.119995,335.559998,337.059998,333.621429,54501900
12/28/2019,337.51001,337.730011,336.200012,337.600006,334.155945,64582200
12/29/2019,336.51001,337.670013,335.209991,336.730011,333.2948,57226200
12/30/2019,337.790009,339.079987,337.480011,338.339996,334.888397,48814700
12/31/2019,337.73999,338.640015,333.679993,336.950012,333.512573,74163400
1/1/2020,335.470001,335.809998,332.579987,333.480011,330.077972,113788200
1/2/2020,323.140015,333.559998,321.23999,322.420013,319.130829,161088400
1/3/2020,323.940002,324.609985,311.690002,312.649994,309.460449,218913200
1/4/2020,314.179993,318.109985,310.700012,311.5,308.322205,194773800
1/5/2020,305.459991,311.559998,297.51001,297.51001,294.474915,284353500
1/6/2020,288.700012,297.890015,285.540009,296.26001,293.237701,385764000
1/7/2020,298.209991,309.160004,294.459991,309.089996,305.936768,238703600
1/8/2020,309.5,313.839996,297.570007,300.23999,297.177063,300139100
1/9/2020,306.119995,313.100006,303.329987,312.859985,309.668304,176613400
1/10/2020,304.980011,308.470001,300.01001,302.459991,299.37442,186366800
1/11/2020,293.149994,298.779999,290.230011,297.459991,294.425415,228667200
1/12/2020,275.299988,284.190002,273.450012,274.230011,271.432434,309417300
1/13/2020,284.640015,288.519989,273.5,288.420013,285.477692,276444100
1/14/2020,280.700012,281.940002,270.880005,274.359985,271.561066,255316300
1/15/2020,256,266.660004,247.679993,248.110001,245.578888,392220700
1/16/2020,263.089996,271.480011,248.520004,269.320007,266.57251,329566100
1/17/2020,241.179993,256.899994,237.360001,239.850006,237.403152,297240000
1/18/2020,245.039993,256.170013,237.070007,252.800003,250.221039,262070500
1/19/2020,236.25,248.369995,228.020004,240,237.55162,327597100
1/20/2020,239.25,247.380005,232.220001,240.509995,238.056396,289322000
1/21/2020,242.529999,244.470001,228.5,228.800003,227.797562,347158800
1/22/2020,228.190002,229.679993,218.259995,222.949997,221.97319,326025200
1/23/2020,234.419998,244.100006,233.800003,243.149994,242.084686,235494500
1/24/2020,244.869995,256.350006,239.75,246.789993,245.708725,299430300
1/25/2020,249.520004,262.799988,249.050003,261.200012,260.055603,257632800
1/26/2020,253.270004,260.809998,251.050003,253.419998,252.309692,224341200
1/27/2020,255.699997,262.429993,253.529999,261.649994,260.503632,171369500
1/28/2020,260.559998,263.329987,256.220001,257.75,256.620728,194881100
1/29/2020,247.979996,257.660004,243.899994,246.149994,245.071533,189554600
1/30/2020,245.190002,252.679993,244.589996,251.830002,250.726654,177660400
1/31/2020,250.759995,253.320007,245.220001,248.190002,247.102615,135561200
2/1/2020,257.839996,267,248.169998,264.859985,263.699554,188061200
2/2/2020,274.209991,275.029999,264.890015,265.130005,263.968384,201427200
2/3/2020,267.959991,276,265.25,274.029999,272.829376,153774500
2/4/2020,277.579987,281.200012,275.470001,278.200012,276.98114,190282700
2/5/2020,277.140015,277.51001,271.410004,275.660004,274.45224,114839100
2/6/2020,280.980011,284.899994,275.51001,283.790009,282.546631,134143400
2/7/2020,277.570007,283.940002,275.459991,277.76001,276.54306,121775000
2/8/2020,279.149994,280.029999,275.76001,279.100006,277.877197,131798300
2/9/2020,285.380005,287.299988,282.399994,286.640015,285.384155,146684800
2/10/2020,282.609985,286.790009,281.350006,281.589996,280.356262,100109300
2/11/2020,276.730011,278.040009,272.019989,273.040009,271.84375,126385700
